First_Name,Second_Name,Party,Vote,Num_Meeting,Num_Vote
Vìra,Adámková,ANO,A,0,0
Andrej,Babiš,ANO,A,0,0
Andrea,Babišová,ANO,A,0,0
Margita,Balaštíková,ANO,A,0,0
Josef,Bìlica,ANO,A,0,0
Stanislav,Berkovec,ANO,A,0,0
Jiøí,Bláha,ANO,A,0,0
Richard,Brabec,ANO,A,0,0
Milan,Brázdil,ANO,Z,0,0
Andrea,Brzobohatá,ANO,A,0,0
Jaroslav,Boch,ANO,A,0,0
Klára,Dostálová,ANO,A,0,0
Lenka,Drailová,ANO,A,0,0
Jaroslav,Faltınek,ANO,A,0,0
Kamal,Farhan,ANO,A,0,0
Milan,Feranec,ANO,A,0,0
Eva,Fialová,ANO,A,0,0
Stanislav,Fridrich,ANO,A,0,0
Josef,Hájek,ANO,A,0,0
Jiøí,Hlavatı,ANO,A,0,0
Milan,Hnilièka,ANO,A,0,0
Ivan,Jáè,ANO,0,0,0
Miloslav,Janulík,ANO,A,0,0
Aleš,Juchelka,ANO,A,0,0
Pavel,Juøíèek,ANO,A,0,0
Adam,Kalous,ANO,A,0,0
David,Kasal,ANO,A,0,0
Tomáš,Kohoutek,ANO,A,0,0
Martin,Kolovratník,ANO,A,0,0
Barbora,Koøanová,ANO,A,0,0
Josef,Kott,ANO,A,0,0
Robert,Králíèek,ANO,A,0,0
Roman,Kubíèek,ANO,A,0,0
Jan,Kubík,ANO,A,0,0
Jaroslav,Kytır,ANO,A,0,0
Taána,Malá,ANO,A,0,0
Pøemysl,Mališ,ANO,A,0,0
Jiøí,Mašek,ANO,A,0,0
Radka,Maxová,ANO,A,0,0
Marcela,Melková,ANO,A,0,0
Jana,Mraèková,ANO,0,0,0
Patrik,Nacher,ANO,A,0,0
Marek,Novák,ANO,A,0,0
Monika,Oborná,ANO,A,0,0
Ladislav,Okleštìk,ANO,A,0,0
Zuzana,Oanová,ANO,A,0,0
Jana,Pastuchová,ANO,A,0,0
Robert,Pelikán,ANO,A,0,0
František,Petrtıl,ANO,A,0,0
Pavel,Plzák,ANO,A,0,0
Jaroslava,Pokorná,ANO,A,0,0
David,Praák,ANO,A,0,0
Vìra,Procházková,ANO,A,0,0
Pavel,Pustìjovskı,ANO,A,0,0
Karel,Rais,ANO,A,0,0
Michal,Ratiborskı,ANO,A,0,0
Jan,Richter,ANO,A,0,0
Miloslava,Rutová,ANO,A,0,0
Pavel,Rùièka,ANO,A,0,0
Jan,Øehounek,ANO,A,0,0
Petr,Sadovskı,ANO,A,0,0
Jan,Schiller,ANO,A,0,0
Pavel,Stanìk,ANO,A,0,0
Martin,Stropnickı,ANO,A,0,0
Jiøí,Strıèek,ANO,A,0,0
Karla,Šlechtová,ANO,A,0,0
Julius,Špièák,ANO,A,0,0
David,Štolpa,ANO,A,0,0
Dan,ok,ANO,A,0,0
Karel,Tureèek,ANO,A,0,0
Helena,Válková,ANO,A,0,0
Adam,Vojtìch,ANO,A,0,0
Jan,Volnı,ANO,A,0,0
